,ADDRESS,CAMIS,Latitude,Longitude
6833,236 5 AVENUE,41282946,40.74420744,-73.98772575
6996,529 STANLEY AVENUE,41295972,40.65732207,-73.88876576
7031,112 DEKALB AVENUE,41298438,40.68975983,-73.97817766
7032,286 8 AVENUE,41298537,40.74616615,-73.9977708
7193,378        METROPOLITAN AVENUE ,41307350,40.71402428,-73.9555447
7203,3100 OCEAN PARKWAY,41308090,40.57614328,-73.96893824
7206,1845       RICHMOND AVENUE ,41308249,40.60307797,-74.16263023
7226,23 ST JAMES PLACE,41309709,40.71166031,-73.99973134
7226,23 ST JAMES PLACE,41309709,40.71166031,-73.99973134
7326,17 EAST 31 STREET,41316336,40.74605608,-73.98465877
7331,1660       EAST GUN HILL ROAD ,41316593,40.86604021,-73.83785901
7364,145 WEST 44 STREET,41318801,40.75694307,-73.98480469
7386,7218       18 AVENUE ,41320205,40.61504902,-73.99439666
7392,17 MOTT STREET,41320866,40.71426827,-73.99883203
7399,488 3 AVENUE,41321378,40.7451045,-73.97865579
7403,202 CENTRE STREET,41321686,40.71891042,-73.99915112
7428,607 2 AVENUE,41322812,40.74428122,-73.97630077
7434,50 HOYT STREET,41323499,40.68906147,-73.98620681
7462,440        7 AVENUE ,41326289,40.66333137,-73.98463702
7470,6103 20 AVENUE,41326963,40.61873862,-73.9834607
7479,129 FRONT STREET,41327489,40.70519554,-74.00626434
7483,1082       BAY STREET ,41328107,40.61654034,-74.06809525
7491,2660       HYLAN BOULEVARD ,41328851,40.56706,-74.113196
7543,1160 TELLER AVENUE,41332853,40.83144963,-73.91201455
7564,32 ST MARKS PLACE,41334807,40.72868276,-73.98802133
7566,1024 MORRIS PARK AVENUE,41334829,40.84843789,-73.85537018
7585,237 DYCKMAN STREET,41336495,40.86615413,-73.9279053
7592,4120       WHITE PLAINS ROAD ,41336841,40.8912947,-73.8584628
7623,1376 CONEY ISLAND AVENUE,41338411,40.6238932,-73.96508045
7641,116 AVENUE C,41340016,40.72439233,-73.97854895
7697,40 BOWERY,41346086,40.7154835,-73.99660552
7755,2751 BOSTON ROAD,41350166,40.86647977,-73.86120358
7825,104 2 AVENUE,41354976,40.72739329,-73.98846288
7875,18         BEDFORD AVENUE ,41360079,40.72343413,-73.95179527
7882,295        GREENWICH STREET ,41360734,40.71602295,-74.01095001
7949,3150 FULTON STREET,41363877,40.68173533,-73.8787144
8095,1695       PRESIDENT STREET ,41374089,40.66705521,-73.93101718
8120,662        FULTON STREET ,41375578,40.68671631,-73.97557369
8175,552 SENECA AVENUE,41377990,40.70494563,-73.91141824
8179,130        EAST 29 STREET ,41378305,40.74319682,-73.98199636
8234,328 MYRTLE AVENUE,41381773,40.69320519,-73.97344616
8268,314 COURT STREET,41382948,40.68345902,-73.99544582
8290,848 WASHINGTON STREET,41384154,40.74064547,-74.00777572
8309,1324 AVENUE J,41385083,40.62495001,-73.96299578
8354,1406 86 STREET,41387129,40.61258861,-74.01158517
8371,182 AUDUBON AVENUE,41387576,40.84421701,-73.93572402
8378,93 MACDOUGAL STREET,41388157,40.72929218,-74.00117119
8391,326 EAST 6 STREET,41388838,40.72707662,-73.98791389
8393,1419 CONEY ISLAND AVENUE,41388845,40.62293194,-73.96475265
8404,325 8 AVENUE,41389126,40.74730816,-73.9971064
8427,1836 MCDONALD AVENUE,41390294,40.60800196,-73.97291386
8474,41         NEWKIRK PLAZA ,41393176,40.63525331,-73.96264257
8624,50 BROADWAY,41396908,40.70659054,-74.0125694
8628,60         HANCOCK STREET ,41397316,40.58878466,-74.09523146
8684,122 UNION STREET,41400890,40.68421473,-74.00258992
8691,2515 BOSTON ROAD,41401433,40.86367868,-73.86498616
8713,31 WEST 17 STREET,41402635,40.73839549,-73.99321337
